customer_id,gender,age,senior_citizen,marital_status,dependents,city,state,signup_date,tenure_months,contract_type,subscription_plan,internet_service,payment_method,paperless_billing,monthly_charges,total_charges,discount_percentage,lifetime_value,phone_service,multiple_lines,streaming_service,online_security,online_backup,tech_support,device_protection,support_tickets,complaints,avg_monthly_usage_gb,satisfaction_score,last_login_days_ago,churn,churn_date,churn_reason,competitor_offer,cancellation_channel,age_group,tenure_group,monthly_charge_group,support_ticket_group,satisfaction_group,customer_status,estimated_annual_revenue,estimated_revenue_at_risk
TC-10000,Male,72,1,Married,No,New York,NY,2020-06-28,48,Month-to-month,Standard,DSL,Bank transfer,Yes,60.73,2908.2,10,2617.38,Yes,No,No,No,Yes,No,Yes,0,1,138.2,7,27,No,,None,No,None,65+,25–48 Months,Medium,0,Medium,Active,728.76,0.0
TC-10001,Female,53,0,Married,Yes,Seattle,WA,2023-12-14,6,One year,Premium,Fiber optic,Bank transfer,Yes,94.99,576.42,10,518.78,Yes,Yes,No,No,Yes,No,No,2,1,100.7,6,10,Yes,2024-06-11,Price too high,No,Online Portal,45–54,0–6 Months,High,1–2,Medium,Churned,1139.88,1139.88
TC-10002,Female,54,0,Single,Yes,Phoenix,AZ,2023-05-30,13,Two year,Premium,DSL,Bank transfer,No,81.62,1020.75,0,1020.75,Yes,Yes,Yes,No,No,No,No,1,0,334.4,8,29,No,,None,No,None,45–54,13–24 Months,High,1–2,High,Active,979.44,0.0
TC-10003,Female,31,0,Single,No,Dallas,TX,2024-04-13,2,Month-to-month,Standard,DSL,Bank transfer,Yes,70.28,144.06,0,144.06,No,No phone service,Yes,Yes,No,No,Yes,1,1,256.5,3,45,Yes,2024-06-12,Service dissatisfaction,No,Online Portal,25–34,0–6 Months,Medium,1–2,Low,Churned,843.36,843.36
TC-10004,Male,44,0,Married,No,Austin,TX,2023-09-18,9,Month-to-month,Standard,Fiber optic,Mailed check,No,82.84,751.15,0,751.15,Yes,No,Yes,No,Yes,No,No,2,0,227.2,3,50,Yes,2024-06-14,Poor tech support,No,Online Portal,35–44,7–12 Months,High,1–2,Low,Churned,994.08,994.08
TC-10005,Male,48,0,Married,No,Austin,TX,2023-07-31,11,Month-to-month,Standard,DSL,Bank transfer,Yes,55.38,597.27,0,597.27,Yes,Yes,Yes,No,No,No,No,2,1,209.2,5,7,Yes,2024-06-25,Service dissatisfaction,Yes,Customer Service Call,45–54,7–12 Months,Medium,1–2,Medium,Churned,664.56,664.56
TC-10006,Male,61,0,Married,Yes,Seattle,WA,2023-06-01,13,One year,Standard,DSL,Mailed check,Yes,77.16,998.52,0,998.52,Yes,No,No,No,No,No,No,0,2,517.8,5,44,No,,None,No,None,55–64,13–24 Months,Medium,0,Medium,Active,925.92,0.0
TC-10007,Female,65,1,Married,No,Austin,TX,2019-04-30,62,Month-to-month,Standard,DSL,Credit card,Yes,52.91,3280.95,0,3280.95,Yes,No,Yes,No,Yes,No,Yes,4,1,408.4,4,7,Yes,2024-06-02,Competitor offered higher speeds,Yes,Customer Service Call,65+,49+ Months,Medium,3–5,Low,Churned,634.92,634.92
TC-10008,Female,74,1,Single,Yes,Seattle,WA,2019-09-25,57,Month-to-month,Basic,DSL,Bank transfer,No,39.88,2287.35,0,2287.35,No,No phone service,No,No,Yes,No,Yes,4,2,307.5,7,38,No,,None,No,None,65+,49+ Months,Low,3–5,Medium,Active,478.56,0.0
TC-10009,Female,39,0,Married,Yes,Austin,TX,2024-05-24,1,One year,Premium,DSL,Credit card,No,99.89,67.42,5,64.05,Yes,No,No,No,No,No,No,2,1,311.0,6,9,No,,None,No,None,35–44,0–6 Months,High,1–2,Medium,Active,1198.68,0.0
TC-10010,Male,21,0,Married,Yes,Dallas,TX,2023-06-15,12,Month-to-month,Premium,Fiber optic,Mailed check,Yes,97.53,1169.5,0,1169.5,Yes,No,No,No,No,No,Yes,1,0,188.9,7,55,Yes,2024-06-09,Price too high,Yes,Email,Under 25,7–12 Months,High,1–2,Medium,Churned,1170.36,1170.36
TC-10011,Female,63,0,Married,No,Atlanta,GA,2023-09-12,9,One year,Standard,DSL,Mailed check,Yes,73.44,668.16,5,634.75,Yes,Yes,Yes,No,Yes,No,No,4,0,110.6,3,26,No,,None,No,None,55–64,7–12 Months,Medium,3–5,Low,Active,881.28,0.0
TC-10012,Female,76,1,Married,No,Atlanta,GA,2023-08-31,10,Month-to-month,Basic,DSL,Electronic check,Yes,33.53,344.68,5,327.45,Yes,No,Yes,No,Yes,No,No,3,0,229.4,5,16,Yes,2024-06-26,Competitor offered higher speeds,Yes,Email,65+,7–12 Months,Low,3–5,Medium,Churned,402.36,402.36
TC-10013,Male,51,0,Single,No,Los Angeles,CA,2021-09-13,33,Month-to-month,Standard,DSL,Bank transfer,No,60.86,2005.1,0,2005.1,Yes,Yes,Yes,No,No,No,No,1,1,165.1,7,57,No,,None,No,None,45–54,25–48 Months,Medium,1–2,Medium,Active,730.32,0.0
TC-10014,Male,28,0,Single,Yes,Atlanta,GA,2024-01-24,5,Month-to-month,Standard,Fiber optic,Mailed check,No,68.69,352.06,10,316.85,Yes,No,Yes,Yes,Yes,No,Yes,3,0,321.0,5,13,Yes,2024-06-22,Lack of features,No,Email,25–34,0–6 Months,Medium,3–5,Medium,Churned,824.28,824.28
TC-10015,Male,48,0,Married,No,Chicago,IL,2021-09-10,33,One year,Standard,Fiber optic,Bank transfer,No,72.75,2399.65,0,2399.65,Yes,Yes,Yes,Yes,Yes,No,No,3,0,125.4,9,47,Yes,2024-05-27,Price too high,No,Email,45–54,25–48 Months,Medium,3–5,High,Churned,873.0,873.0
TC-10016,Male,28,0,Married,No,Los Angeles,CA,2019-07-15,59,Month-to-month,Basic,DSL,Mailed check,No,21.2,1267.7,5,1204.32,Yes,Yes,Yes,No,No,No,No,2,1,238.5,8,57,No,,None,Yes,None,25–34,49+ Months,Low,1–2,High,Active,254.4,0.0
TC-10017,Female,73,1,Single,Yes,Denver,CO,2022-02-16,28,Two year,Basic,DSL,Bank transfer,Yes,36.63,1013.11,15,861.14,Yes,No,No,No,No,Yes,No,0,2,169.4,5,59,No,,None,No,None,65+,25–48 Months,Low,0,Medium,Active,439.56,0.0
TC-10018,Male,55,0,Married,No,Chicago,IL,2023-06-24,12,One year,Premium,Fiber optic,Electronic check,Yes,99.99,1189.94,15,1011.45,Yes,No,No,No,No,No,Yes,3,0,222.9,5,38,No,,None,No,None,55–64,7–12 Months,High,3–5,Medium,Active,1199.88,0.0
TC-10019,Male,38,0,Single,No,Chicago,IL,2024-05-17,1,One year,Standard,Fiber optic,Credit card,Yes,70.39,77.31,0,77.31,Yes,Yes,Yes,No,Yes,Yes,No,3,0,131.5,8,39,No,,None,No,None,35–44,0–6 Months,Medium,3–5,High,Active,844.68,0.0
TC-10020,Female,27,0,Single,No,Seattle,WA,2024-04-13,2,Two year,Basic,DSL,Mailed check,Yes,34.99,79.67,0,79.67,Yes,No,Yes,No,No,No,No,2,0,349.8,4,48,No,,None,No,None,25–34,0–6 Months,Low,1–2,Low,Active,419.88,0.0
TC-10021,Male,43,0,Single,Yes,Phoenix,AZ,2021-12-23,30,Month-to-month,Standard,Fiber optic,Electronic check,Yes,73.14,2201.73,5,2091.64,Yes,No,No,No,No,No,Yes,3,0,187.9,4,16,No,,None,No,None,35–44,25–48 Months,Medium,3–5,Low,Active,877.68,0.0
TC-10022,Male,25,0,Single,No,Atlanta,GA,2024-05-01,2,One year,Standard,DSL,Credit card,No,75.13,143.87,20,115.1,Yes,No,No,Yes,No,No,Yes,1,0,239.4,5,28,No,,None,No,None,25–34,0–6 Months,Medium,1–2,Medium,Active,901.56,0.0
TC-10023,Male,25,0,Single,Yes,Atlanta,GA,2023-06-26,12,Month-to-month,Basic,Fiber optic,Credit card,No,40.99,485.73,5,461.44,Yes,No,Yes,Yes,No,Yes,No,0,1,141.4,5,26,No,,None,Yes,None,25–34,7–12 Months,Medium,0,Medium,Active,491.88,0.0
TC-10024,Female,77,1,Single,Yes,Austin,TX,2020-05-18,49,Month-to-month,Premium,Fiber optic,Bank transfer,Yes,101.57,4976.75,0,4976.75,Yes,No,No,Yes,Yes,No,No,2,1,190.0,5,40,Yes,2024-05-27,Price too high,No,Customer Service Call,65+,49+ Months,High,1–2,Medium,Churned,1218.84,1218.84
TC-10025,Female,51,0,Single,No,Chicago,IL,2022-12-21,18,Two year,Standard,Fiber optic,Bank transfer,Yes,71.22,1265.43,5,1202.16,Yes,Yes,No,No,Yes,Yes,Yes,3,0,364.8,7,59,No,,None,No,None,45–54,13–24 Months,Medium,3–5,Medium,Active,854.64,0.0
TC-10026,Male,33,0,Married,No,Atlanta,GA,2023-09-23,9,Two year,Premium,DSL,Credit card,Yes,80.49,712.16,5,676.55,Yes,No,No,No,No,No,Yes,3,1,220.6,5,30,No,,None,No,None,25–34,7–12 Months,High,3–5,Medium,Active,965.88,0.0
TC-10027,Female,30,0,Married,No,Chicago,IL,2023-12-27,6,Month-to-month,Basic,DSL,Bank transfer,Yes,47.21,305.18,10,274.66,Yes,Yes,No,Yes,No,Yes,Yes,1,0,283.0,1,25,No,,None,No,None,25–34,0–6 Months,Medium,1–2,Low,Active,566.52,0.0
TC-10028,Female,39,0,Married,No,Seattle,WA,2022-12-25,18,Month-to-month,Standard,DSL,Credit card,Yes,68.44,1229.42,10,1106.48,Yes,No,No,No,Yes,No,No,1,1,97.5,9,38,No,,None,Yes,None,35–44,13–24 Months,Medium,1–2,High,Active,821.28,0.0
