customer_id,gender,age,senior_citizen,marital_status,dependents,city,state,signup_date,tenure_months,contract_type,subscription_plan,internet_service,payment_method,paperless_billing,monthly_charges,total_charges,discount_percentage,lifetime_value,phone_service,multiple_lines,streaming_service,online_security,online_backup,tech_support,device_protection,support_tickets,complaints,avg_monthly_usage_gb,satisfaction_score,last_login_days_ago,churn,churn_date,churn_reason,competitor_offer,cancellation_channel
TC-10000,Male,72,1,Married,No,New York,NY,2020-06-28,48, Month-to-month ,Standard,None,Bank transfer,Yes,60.73,2908.2,10,2661.95,Yes,No,No,No,Yes,No,Yes,0,1,138.2,7.0,27,No,,,No,
TC-10001,Female ,53,0,Married,Yes,Seattle,WA,2023-12-14,6,One year,Premium,Fiber optic,Bank transfer,Yes,94.99,576.42,10,560.86,Yes,Yes,No,No,Yes,No,No,2,1,100.7,6.0,10,Yes,2024-06-11,Price too high,No,Online Portal
TC-10002,Female,54,0,Single,Yes,Phoenix,AZ,2023-05-30,13,Two year,Premium,None,Bank transfer,No,81.62,1020.75,0,1074.56,Yes,Yes,Yes,No,No,No,No,1,0,334.4,8.0,29,No,,,No,
TC-10003,Female,31,0, single ,No,Dallas,TX,2024-04-13,2,Month-to-month,Standard,DSL,Bank transfer,Yes,70.28,144.06,0,204.48,No,No phone service,Yes,Yes,No,No,Yes,1,1,256.5,3.0,45,Yes,2024-06-12,Service dissatisfaction,No,Online Portal
TC-10004,Male,44,0,Married,No,Austin,TX,2023-09-18,9,Month-to-month,Standard,Fiber optic,Mailed check,No,82.84,751.15,0,800.9,Yes,No,Yes,No,Yes,No,No,2,0,227.2,3.0,50,Yes,2024-06-14,Poor tech support,No,Online Portal
TC-10005,Male,48,0,Married,No,Austin,TX,2023-07-31,11,Month-to-month,Standard,None,Bank transfer,Yes,55.38,597.27,0,637.81,Yes,Yes,Yes,No,No,No,No,2,1,209.2,5.0,7,Yes,2024-06-25,Service dissatisfaction,Yes,Customer Service Call
TC-10006,Male,61,0,Married,Yes,Seattle,WA,2023-06-01,13,One year,Standard,DSL,Mailed check,Yes,77.16,998.52,0,1016.79,Yes,No,No,No,No,No,No,0,2,517.8,5.0,44,No,,,No,
TC-10007,Female,65,1,Married,No,Austin,TX,2019-04-30,62,Month-to-month,Standard,None,Credit card,Yes,52.91,3280.95,0,3350.38,Yes,No,Yes,No,Yes,No,Yes,4,1,408.4,4.0,7,Yes,2024-06-02,Competitor offered higher speeds,Yes,Customer Service Call
TC-10008,Female,74,1,Single,Yes,Seattle,WA,2019-09-25,57,Month-to-month,Basic,DSL,Bank transfer,No,39.88,2287.35,0,2340.04,No,No phone service,No,No,Yes,No,Yes,4,2,307.5,7.0,38,No,,,No,
TC-10009,Female,39,0,Married,Yes,Austin,TX,2024-05-24,1,One year,Premium,DSL,Credit card,No,99.89,67.42,5,85.69,Yes,No,No,No,No,No,No,2,1,311.0,6.0,9,No,,,No,
TC-10010,Male,21,0,Married,Yes,Dallas,TX,2023-06-15,12,Month-to-month,Premium,Fiber optic,Mailed check,Yes,97.53,1169.5,0,1231.98,Yes,No,No,No,No,No,Yes,1,0,188.9,7.0,55,Yes,2024-06-09,Price too high,Yes,Email
TC-10011,Female ,63,0,Married,No,Atlanta,GA,2023-09-12,9,One year,Standard,DSL,Mailed check,Yes,73.44,668.16,5,698.01,Yes,Yes,Yes,No,Yes,No,No,4,0,110.6,3.0,26,No,,,No,
TC-10012,Female,76,1,MARRIED,No,Atlanta,GA,2023-08-31,10,Month-to-month,Basic,DSL,electronic check,Yes,33.53,344.68,5,367.74,Yes,No,Yes,No,Yes,No,No,3,0,229.4,5.0,16,Yes,2024-06-26,Competitor offered higher speeds,Yes,Email
TC-10013,Male,51,0,Single,No,Los Angeles,CA,2021-09-13,33,Month-to-month,Standard,DSL,Bank transfer,No,60.86,2005.1,0,2034.27,Yes,Yes,Yes,No,No,No,No,1,1,165.1,7.0,57,No,,,No,
TC-10014,Male,28,0,Single,Yes,Atlanta,GA,2024-01-24,5,Month-to-month,Standard,Fiber optic,Mailed check,No,68.69,352.06,10,387.78,Yes,No,Yes,Yes,Yes,No,Yes,3,0,321.0,,13,Yes,2024-06-22,Lack of features,No,Email
TC-10015,Male,48,0,Married,No,Chicago,IL,2021-09-10,33,One year,Standard,Fiber optic,Bank transfer,No,72.75,2399.65,0,2439.86,Yes,Yes,Yes,Yes,Yes,No,No,3,0,125.4,9.0,47,Yes,2024-05-27,Price too high,No,Email
TC-10016,Male,28,0,Married,No,Los Angeles,CA,2019-07-15,59,Month-to-month,Basic,None,Mailed check,No,21.2,1267.7,5,1207.21,Yes,Yes,Yes,No,No,No,No,2,1,238.5,8.0,57,No,,,Yes,
TC-10017,Female,73,1,Single,Yes,Denver,CO,2022-02-16,28,Two year,Basic,None,Bank transfer,Yes,36.63,1013.11,15,909.73,Yes,No,No,No,No,Yes,No,0,2,169.4,5.0,59,No,,,No,
TC-10018,Male,55,0,Married,No,Chicago,IL,2023-06-24,12,One year,Premium,Fiber optic,Electronic check,Yes,99.99,1189.94,15,1064.29,Yes,No,No,No,No,No,Yes,3,0,222.9,5.0,38,No,,,No,
TC-10019,Male,38,0,Single,No,Chicago,IL,2024-05-17,1,One year,Standard,Fiber optic,Credit card,Yes,70.39,77.31,0,129.53,Yes,Yes,Yes,No,Yes,Yes,No,3,0,131.5,8.0,39,No,,,No,
TC-10020,Female,27,0,Single,No,Seattle,WA,2024-04-13,2,Two year,Basic,DSL,Mailed check,Yes,34.99,79.67,0,115.36,Yes,No,Yes,No,No,No,No,2,0,349.8,4.0,48,No,,,No,
TC-10021,Male,43,0, single ,Yes,Phoenix,AZ,2021-12-23,30,Month-to-month,Standard,Fiber optic,Electronic check,Yes,73.14,2201.73,5,2142.81,Yes,No,No,No,No,No,Yes,3,0,187.9,4.0,16,No,,,No,
TC-10022,Male,25,0,Single,No,Atlanta,GA,2024-05-01,2,One year,Standard,DSL,Credit card,No,75.13,143.87,20,179.17,Yes,No,No,Yes,No,No,Yes,1,0,239.4,5.0,28,No,,,No,
TC-10023,Male,25,0, single ,Yes,Atlanta,GA,2023-06-26,12,Month-to-month,Basic,Fiber optic,Credit card,No,40.99,485.73,5,468.75,Yes,No,Yes,Yes,No,Yes,No,0,1,141.4,5.0,26,No,,,Yes,
TC-10024,Female,77,1,Single,Yes,Austin,TX,2020-05-18,49,month-to-month,Premium,Fiber optic,Bank transfer,Yes,101.57,4976.75,0,5037.63,Yes,No,No,Yes,Yes,No,No,2,1,190.0,5.0,40,Yes,2024-05-27,Price too high,No,Customer Service Call
TC-10025,Female,51,0,Single,No,Chicago,IL,2022-12-21,18,Two year,Standard,Fiber optic,Bank transfer,Yes,71.22,1265.43,5,1269.14,Yes,Yes,No,No,Yes,Yes,Yes,3,0,364.8,7.0,59,No,,,No,
TC-10026,Male,33,0,Married,No,Atlanta,GA,2023-09-23,9,Two year,Premium,None,Credit card,Yes,80.49,712.16,5,719.75,Yes,No,No,No,No,No,Yes,3,1,220.6,5.0,30,No,,,No,
TC-10027,Female,30,0,Married,No,Chicago,IL,2023-12-27,6,Month-to-month,Basic,DSL,Bank transfer,Yes,47.21,305.18,10,297.86,Yes,Yes,No,Yes,No,Yes,Yes,1,0,283.0,1.0,25,No,,,No,
